code;name;calories;protein;fat;carbo;fiber
DP048;Sayur bunga pepaya;49;1,7;0,3;9,8;2,7
DP049;Sayur garu;178;2,6;13,9;10,6;8,4
DP050;Sayur kohu-kohu;133;7,3;6,6;11,2;1,2
DP051;Sayur lilin-terubuk;36;2,7;0,7;4,8;1,4
DP052;Sayur ndusuk;49;3,1;2,5;3,6;-
DP053;Sayur sop;27;1,3;2;1;0,3
DP054;Sayur umbut kelapa;67;5,2;2,9;5,1;1,4
DP055;Sayur umbut rotan;57;5,4;2,6;3,1;1,6
DP056;Shabu-shabu;88;3,2;8;0,8;0,9
DP057;Semur jengkol;212;6;10;29,1;-
DP058;Tinira ninahu nggaluku;33;1,2;1,3;4,1;3,1
DP059;Tumis bayam bersantan;48;1,4;4,2;2,6;0,5
DP060;Waluh balamak;45;0,8;0,9;8,1;7,9
DP061;Woku ubi;143;3,1;7,8;15;7
DR001;Akar tonjong, segar;45;1,1;0,4;10,8;1,2
DR002;Ale,toge, segar;37;4,4;0,5;3,8;1,7
DR003;Andaliman, segar;99;4,6;1;18;8,5
DR004;Andewi, segar;226;1,6;0,2;5,3;4,1
