code;name;calories;protein;fat;carbo;fiber
2708201;Cheese flavored corn snacks, reduced fat;432;8,5;12,1;72,4;3,6
2708202;Tortilla chips, plain;472;7,1;20,7;67,8;5,4
2708203;Cheese flavored corn snacks (Cheetos);567;5,46;36,5;54,5;0,8
2708204;Tortilla chips, flavored;519;7,36;27,4;60,8;5,1
2708205;Corn chips, reduced sodium;549;6,84;33,6;56,8;3,9
2708206;Tortilla chips, nacho cheese flavor (Doritos);519;7,36;27,4;60,8;5,1
2708207;Tortilla chips, cool ranch flavor (Doritos);470;7,06;20,6;67,4;5,4
2708208;Tortilla chips, other flavors (Doritos);519;7,36;27,4;60,8;5,1
2708209;Tortilla chips, reduced fat, plain;411;10,9;5,63;79,1;5,2
2708210;Tortilla chips, reduced fat, flavored;411;10,9;5,63;79,1;5,2
2708211;Tortilla chips, low fat, unsalted;416;11;5,7;80,1;5,3
2708212;Tortilla chips, reduced sodium;489;9,35;19,8;68,1;4,5
2708213;Snack mix;504;6,87;25,8;63,1;3,1
2708214;Potato chips, restructured, multigrain;505;5,3;24,7;65,3;2,7
2708215;Pita chips;457;11,8;15,2;68,3;3,8
2708216;Popcorn, NFS;518;9,13;30,6;55;10,2
2708217;Popcorn, movie theater, with added butter;656;4,96;58,8;31,6;5,4
2708218;Popcorn, movie theater, no butter added;603;6,18;48,7;39,9;6,9
2708219;Popcorn, air-popped, no butter added;385;12,9;4,52;77,5;14,4
2708220;Popcorn, air-popped, with added butter;430;11;15,3;65,8;12,2
2708221;Popcorn, popped in oil, no butter added;498;8,96;28;57,9;10
2708222;Popcorn, popped in oil, with added butter;525;7,69;35,2;49,1;8,4
2708223;Popcorn, microwave, NFS;518;9,13;30,6;55;10,2
2708224;Popcorn, microwave, plain;518;9,13;30,6;55;10,2
2708225;Popcorn, microwave, plain, light;409;11,9;10,1;71,7;13,4
2708226;Popcorn, microwave, low sodium;496;8,93;27,9;57,6;9,9
2708227;Popcorn, microwave, butter flavored;518;9,13;30,6;55;10,2
2708228;Popcorn, microwave, flavored, light;406;11,8;10;71,2;13,3
2708229;Popcorn, microwave, cheese flavored;516;9,1;30,4;54,8;10,2
2708230;Popcorn, microwave, kettle;504;9,35;27,5;58;10,5
2708231;Popcorn, ready-to-eat, NFS;530;8,88;32,5;53,4;10
2708232;Popcorn, ready-to-eat, plain;482;10,2;23,3;61,2;11,4
2708233;Popcorn, ready-to-eat, plain, light;437;11,3;14,9;68,1;12,7
2708234;Popcorn, ready-to-eat, low sodium;486;10,3;23,4;61,7;11,5
2708235;Popcorn, ready-to-eat, butter flavored;530;8,88;32,5;53,4;10
2708236;Popcorn, ready-to-eat, cheese flavored;526;9,3;33,2;51,6;9,9
2708237;Popcorn, ready-to-eat, flavored, light;435;11,3;14,8;67,8;12,6
2708238;Popcorn, ready-to-eat, kettle;531;5,48;30,2;61;6,1
2708239;Popcorn, caramel coated;428;3,77;12,7;78,5;5,2
2708240;Popcorn, caramel coated, with nuts;397;6,35;7,74;80,1;3,8
2708241;Popcorn, chocolate coated;407;5,34;12,8;76,4;8,3
2708242;Popcorn chips, plain;438;10,2;11,2;74,2;4,9
